Model,Akurasi,Loss,Waktu Evaluasi (s),Waktu Inferensi per Gambar (ms),vgg16 Avg Precision,vgg16 Avg Recall,vgg16 Avg F1-Score,resnet50 Avg Precision,resnet50 Avg Recall,resnet50 Avg F1-Score,mobilenet Avg Precision,mobilenet Avg Recall,mobilenet Avg F1-Score
vgg16,0.10000000149011612,2.302600622177124,14.310554027557373,1.48755943775177,0.01,0.1,0.01818181818181818,0.7125678777405767,0.6913,0.6834652185737783,0.6508304884256975,0.6289,0.6196886759810519
resnet50,0.6912999749183655,0.9127582907676697,3.6021196842193604,0.3577666044235229,0.01,0.1,0.01818181818181818,0.7125678777405767,0.6913,0.6834652185737783,0.6508304884256975,0.6289,0.6196886759810519
mobilenet,0.6288999915122986,1.0767799615859985,3.0263025760650635,0.3038071393966675,0.01,0.1,0.01818181818181818,0.7125678777405767,0.6913,0.6834652185737783,0.6508304884256975,0.6289,0.6196886759810519
