Model,Accuracy,Training_Time,Inference_Time,Precision,Recall,F1_Score
VGG16,0.7491999864578247,1144.7784116268158,1.8906092643737793,0.7715804567212973,0.7492,0.7395085840961128
ResNet50,0.6733999848365784,491.65697622299194,1.470637321472168,0.6824100933466553,0.6734,0.6625419314007831
MobileNetV2,0.5637000203132629,276.5241656303406,1.3750028610229492,0.5909228729013342,0.5637,0.5442833442460311
